test_name,mode,freq,bitrate,sf,bw,cr,power,pkt_size,tx_delay,preamble,tx_sent,tx_errors,tx_elapsed_ms,tx_throughput_kbps,rx_received,rx_crc_errors,rx_lost,rx_total_sent,rx_elapsed_ms,rx_throughput_kbps,per_pct,ber_pct,avg_rssi,min_rssi,max_rssi,avg_snr,payload_corrupt,bit_errors,bits_checked,out_of_order,seq_gaps
F-260,FLRC,868.0,260,0,0,2,22,100,20,16,100,0,2010,39.8,100,0,0,100,9517,8.4,0.0,0.0,-100.1,-104,-94,0.0,0,0,76800,0,
F-325,FLRC,868.0,325,0,0,2,22,100,20,16,100,0,2000,40.0,100,0,0,100,9506,8.4,0.0,0.0,-101.2,-107,-94,0.0,0,0,76800,0,
F-520,FLRC,868.0,520,0,0,2,22,100,20,16,100,0,2000,40.0,100,0,0,100,9506,8.4,0.0,0.0,-104.9,-110,-91,0.0,0,0,76800,0,
F-650,FLRC,868.0,650,0,0,2,22,100,20,16,100,0,2000,40.0,100,0,0,100,9506,8.4,0.0,0.0,-104.7,-114,-88,0.0,0,0,76800,0,
F-1040,FLRC,868.0,1040,0,0,2,22,100,20,16,100,0,2000,40.0,100,0,0,100,9506,8.4,0.0,0.0,-110.2,-119,-104,0.0,0,0,76800,0,
F-1300,FLRC,868.0,1300,0,0,2,22,100,20,16,100,0,2000,40.0,100,0,0,100,9506,8.4,0.0,0.0,-107.3,-119,-86,0.0,0,0,76800,0,
F-2080,FLRC,868.0,2080,0,0,2,22,100,20,16,100,0,2000,40.0,100,0,0,100,9506,8.4,0.0,0.0,-106.3,-116,-87,0.0,0,0,76800,0,
F-2600,FLRC,868.0,2600,0,0,2,22,100,20,16,100,0,2000,40.0,100,0,0,100,9496,8.4,0.0,0.0,-102.9,-114,-84,0.0,0,0,76800,0,
