test_name,mode,freq,bitrate,sf,bw,cr,power,pkt_size,tx_delay,preamble,tx_sent,tx_errors,tx_elapsed_ms,tx_throughput_kbps,rx_received,rx_crc_errors,rx_lost,rx_total_sent,rx_elapsed_ms,rx_throughput_kbps,per_pct,ber_pct,avg_rssi,min_rssi,max_rssi,avg_snr,payload_corrupt,bit_errors,bits_checked,out_of_order,seq_gaps
2G4-PWR-+12,FLRC,2450.0,1300,0,0,2,12,100,20,16,50,0,1000,40.0,50,0,0,50,8506,4.7,0.0,0.0,-109.1,-115,-101,0.0,0,0,38400,0,
2G4-PWR-+8,FLRC,2450.0,1300,0,0,2,8,100,20,16,50,0,1000,40.0,50,0,0,50,8516,4.7,0.0,0.0,-108.7,-114,-103,0.0,0,0,38400,0,
2G4-PWR-+4,FLRC,2450.0,1300,0,0,2,4,100,20,16,50,0,1000,40.0,50,0,0,50,8516,4.7,0.0,0.0,-108.8,-115,-101,0.0,0,0,38400,0,
2G4-PWR-+0,FLRC,2450.0,1300,0,0,2,0,100,20,16,50,0,1000,40.0,50,0,0,50,8506,4.7,0.0,0.0,-108.3,-113,-101,0.0,0,0,38400,0,
2G4-PWR--4,FLRC,2450.0,1300,0,0,2,-4,100,20,16,50,0,1000,40.0,49,1,1,50,8506,4.6,2.0,0.0,-109.1,-116,-102,0.0,0,0,37632,0,
2G4-PWR--8,FLRC,2450.0,1300,0,0,2,-8,100,20,16,50,0,1000,40.0,50,0,0,50,8516,4.7,0.0,0.0,-108.2,-116,-94,0.0,0,0,38400,0,
2G4-PWR--12,FLRC,2450.0,1300,0,0,2,-12,100,20,16,50,0,1000,40.0,50,0,0,50,8516,4.7,0.0,0.0,-108.3,-114,-103,0.0,0,0,38400,0,
2G4-PWR--16,FLRC,2450.0,1300,0,0,2,-16,100,20,16,50,0,1000,40.0,49,1,1,50,8506,4.6,2.0,0.0,-107.7,-114,-89,0.0,0,0,37632,0,
