test_name,mode,freq,bitrate,sf,bw,cr,power,pkt_size,tx_delay,preamble,tx_sent,tx_errors,tx_elapsed_ms,tx_throughput_kbps,rx_received,rx_crc_errors,rx_lost,rx_total_sent,rx_elapsed_ms,rx_throughput_kbps,per_pct,ber_pct,avg_rssi,min_rssi,max_rssi,avg_snr,payload_corrupt,bit_errors,bits_checked,out_of_order,seq_gaps
PWR-+22,FLRC,868.0,1300,0,0,2,22,100,20,16,50,0,1000,40.0,50,0,0,50,8505,4.7,0.0,0.0,-108.7,-117,-85,0.0,0,0,38400,0,
PWR-+18,FLRC,868.0,1300,0,0,2,18,100,20,16,50,0,1000,40.0,50,0,0,50,8505,4.7,0.0,0.0,-107.3,-116,-88,0.0,0,0,38400,0,
PWR-+14,FLRC,868.0,1300,0,0,2,14,100,20,16,50,0,1000,40.0,50,0,0,50,8505,4.7,0.0,0.0,-105.2,-115,-84,0.0,0,0,38400,0,
PWR-+10,FLRC,868.0,1300,0,0,2,10,100,20,16,50,0,1000,40.0,50,0,0,50,8505,4.7,0.0,0.0,-107.8,-116,-91,0.0,0,0,38400,0,
PWR-+6,FLRC,868.0,1300,0,0,2,6,100,20,16,50,0,1000,40.0,50,0,0,50,8505,4.7,0.0,0.0,-105.5,-119,-86,0.0,0,0,38400,0,
PWR-+2,FLRC,868.0,1300,0,0,2,2,100,20,16,50,0,1000,40.0,50,0,0,50,8505,4.7,0.0,0.0,-107.7,-116,-89,0.0,0,0,38400,0,
PWR--2,FLRC,868.0,1300,0,0,2,-2,100,20,16,50,0,1000,40.0,50,0,0,50,8505,4.7,0.0,0.0,-108.2,-116,-90,0.0,0,0,38400,0,
PWR--6,FLRC,868.0,1300,0,0,2,-6,100,20,16,50,0,1000,40.0,50,0,0,50,8505,4.7,0.0,0.0,-108.5,-120,-87,0.0,0,0,38400,0,
