timestamp_iso,phase,seq,rssi_dbm,rx_ms,tx_lat,tx_lon,sats,fix_quality,utc_sec,distance_m
2026-07-24T10:25:48.431441+00:00,8,9611,-92.0,85180,192.49818,-117.08392,52472,168,1197901794,-1
2026-07-24T10:26:31.713278+00:00,9,45488,-25.0,128805,-156.63348,-136.42188,43177,171,3082073514,-1
2026-07-24T10:26:33.714780+00:00,9,45488,-25.0,131297,-156.63348,-136.42188,43177,171,3082073514,-1
2026-07-24T10:28:53.659483+00:00,12,41204,-58.0,270734,208.09706,59.32489,6093,25,3340867428,-1
2026-07-24T10:28:53.659576+00:00,12,10023,-58.0,271043,-189.48674,180.01007,12079,107,507395682,-1
2026-07-24T10:28:54.660254+00:00,12,53464,-58.0,272043,-149.22141,190.33253,24673,208,2713829873,-1
2026-07-24T10:29:03.668314+00:00,13,49664,-60.0,280586,-26.27564,-26.40455,20510,170,2152917057,-1
2026-07-24T10:29:08.674036+00:00,13,42279,-59.0,285855,55.45446,116.6256,12077,13,260544295,-1
