power_dBm,pkt_count,rssi_avg,rssi_min,rssi_max,uptime_ms,capture_seconds
0.0,0
0,,,,30
3.0,4,-103.2,-104,-103,557792,30
6.0,2,-104.0,-104,-104,591611,30
9.0,2,-104.0,-104,-104,625031,30
12.0,0
0,,,,30
12.5,3,-60.3,-61,-60,691637,30
