sf,bw_khz,pa_dbm,npkts_sent,npkts_rx,pct,rssi_avg,snr_avg,crc_err
7,125,10,0,0,0,0,0,0
8,125,10,0,0,0,0,0,0
9,125,10,0,0,0,0,0,0
10,125,10,0,0,0,0,0,0
11,125,10,0,0,0,0,0,0
12,125,10,0,0,0,0,0,0
7,250,10,0,0,0,0,0,0
8,250,10,0,0,0,0,0,0
9,250,10,0,0,0,0,0,0
7,500,10,0,0,0,0,0,0
8,500,10,0,0,0,0,0,0
7,125,0,0,0,0,0,0,0
8,125,0,0,0,0,0,0,0
9,125,0,0,0,0,0,0,0
