idx,label,mod,sf,bw,br,pa,freq,plen,gap_us,toa_s,rx_pkts,crc_err,rssi_avg,rssi_min,rssi_max,snr_avg,snr_min,bit_err_total,tx_done,error
0,SF5 BW125 PA10,lora,5,125,,10,868000000,64,52692,0.04,50,0,-32.0,-32.0,-32.0,10.1,9.0,0,True,
1,SF6 BW125 PA10,lora,6,125,,10,868000000,64,88097,0.069,50,0,-32.0,-32.0,-32.0,13.0,12.0,0,True,
2,SF7 BW125 PA10,lora,7,125,,10,868000000,64,146619,0.118,50,0,-32.0,-32.0,-32.0,15.1,14.0,0,True,
3,SF8 BW125 PA10,lora,8,125,,10,868000000,64,263662,0.216,50,0,-32.0,-32.0,-32.0,16.8,16.0,0,True,
4,SF9 BW125 PA10,lora,9,125,,10,868000000,64,473172,0.39,50,0,-32.0,-32.0,-32.0,14.0,12.0,0,True,
5,SF10 BW125 PA10,lora,10,125,,10,868000000,64,843041,0.698,50,0,-32.0,-32.0,-32.0,15.4,15.0,0,True,
6,SF11 BW125 PA10,lora,11,125,,10,868000000,64,1582779,1.315,50,0,-32.0,-32.0,-32.0,11.3,11.0,0,True,
7,SF12 BW125 PA10,lora,12,125,,10,868000000,64,2963950,2.466,50,0,-32.0,-32.0,-32.0,14.0,13.0,0,True,
8,SF5 BW250 PA10,lora,5,250,,10,868000000,64,28846,0.02,50,0,-32.0,-32.0,-32.0,10.1,9.0,0,True,
9,SF6 BW250 PA10,lora,6,250,,10,868000000,64,46548,0.035,50,0,-32.0,-32.0,-32.0,13.0,12.0,0,True,
10,SF7 BW250 PA10,lora,7,250,,10,868000000,64,75809,0.059,50,0,-32.0,-32.0,-32.0,15.0,14.0,0,True,
11,SF8 BW250 PA10,lora,8,250,,10,868000000,64,134331,0.108,50,0,-32.0,-32.0,-32.0,16.7,16.0,0,True,
12,SF9 BW250 PA10,lora,9,250,,10,868000000,64,239086,0.195,50,0,-32.1,-34.0,-31.0,13.2,12.0,0,True,
13,SF10 BW250 PA10,lora,10,250,,10,868000000,64,424020,0.349,50,0,-32.2,-33.0,-32.0,14.5,14.0,0,True,
14,SF11 BW250 PA10,lora,11,250,,10,868000000,64,793889,0.657,50,0,-32.1,-33.0,-32.0,10.9,10.0,0,True,
15,SF12 BW250 PA10,lora,12,250,,10,868000000,64,1484475,1.233,50,0,-32.0,-32.0,-32.0,13.5,12.0,0,True,
16,SF5 BW500 PA10,lora,5,500,,10,868000000,64,16923,0.01,50,0,-32.0,-32.0,-32.0,10.0,9.0,0,True,
17,SF6 BW500 PA10,lora,6,500,,10,868000000,64,25774,0.017,50,0,-32.0,-32.0,-32.0,12.9,12.0,0,True,
18,SF7 BW500 PA10,lora,7,500,,10,868000000,64,40404,0.03,50,0,-32.0,-32.0,-32.0,15.0,14.0,0,True,
19,SF8 BW500 PA10,lora,8,500,,10,868000000,64,69665,0.054,50,0,-33.0,-36.0,-31.0,15.6,15.0,0,True,
20,SF9 BW500 PA10,lora,9,500,,10,868000000,64,122043,0.098,50,0,-33.3,-34.0,-33.0,12.8,12.0,0,True,
21,SF10 BW500 PA10,lora,10,500,,10,868000000,64,214510,0.175,50,0,-33.7,-34.0,-33.0,12.9,12.0,0,True,
22,SF11 BW500 PA10,lora,11,500,,10,868000000,64,399444,0.329,50,0,-33.9,-34.0,-33.0,8.8,8.0,0,True,
