idx,label,mod,sf,bw,br,pa,freq,plen,gap_us,toa_s,rx_pkts,crc_err,rssi_avg,rssi_min,rssi_max,snr_avg,snr_min,bit_err_total,tx_done,error
23,SF12 BW500 PA10,lora,12,500,,10,868000000,64,744737,0.616,50,0,-33.9,-34.0,-33.0,10.1,10.0,0,True,
24,SF8 BW125 PA0,lora,8,125,,0,868000000,64,263662,0.216,50,0,-43.9,-44.0,-43.0,16.5,14.0,0,True,
25,SF8 BW125 PA3,lora,8,125,,3,868000000,64,263662,0.216,50,0,-41.0,-41.0,-41.0,16.5,16.0,0,True,
26,SF8 BW125 PA6,lora,8,125,,6,868000000,64,263662,0.216,50,0,-37.9,-38.0,-37.0,16.6,16.0,0,True,
27,SF8 BW125 PA10 L16,lora,8,125,,10,868000000,16,116206,0.093,50,0,-34.0,-35.0,-34.0,15.4,15.0,0,True,
28,SF8 BW125 PA10 L128,lora,8,125,,10,868000000,128,460270,0.379,50,0,-34.0,-34.0,-34.0,15.1,15.0,0,True,
29,SF8 BW125 PA10 L255,lora,8,125,,10,868000000,255,853486,0.707,50,0,-34.0,-34.0,-34.0,16.0,15.0,0,True,
30,SF8 BW125 PA10 L511,lora,8,125,,10,868000000,511,1639918,1.362,0,0,,,,,,0,False,
31,FLRC 260k pa5,flrc,,,260,5,868000000,64,10000,0.004,50,50,-77.8,-83.0,-70.0,0.0,0.0,0,True,
32,FLRC 325k pa5,flrc,,,325,5,868000000,64,10000,0.004,50,50,-77.6,-86.0,-72.0,0.0,0.0,0,True,
33,FLRC 520k pa5,flrc,,,520,5,868000000,64,10000,0.003,50,50,-75.8,-84.0,-62.0,0.0,0.0,0,True,
34,FLRC 650k pa5,flrc,,,650,5,868000000,64,10000,0.002,50,50,-70.9,-84.0,-70.0,0.0,0.0,0,True,
35,FLRC 1040k pa5,flrc,,,1040,5,868000000,64,10000,0.002,50,50,-68.7,-70.0,-68.0,0.0,0.0,0,True,
36,FLRC 1300k pa5,flrc,,,1300,5,868000000,64,10000,0.002,50,50,-68.7,-69.0,-68.0,0.0,0.0,0,True,
37,FLRC 2080k pa5,flrc,,,2080,5,868000000,64,10000,0.001,50,50,-66.4,-68.0,-65.0,0.0,0.0,0,True,
38,FLRC 2600k pa5,flrc,,,2600,5,868000000,64,10000,0.001,50,50,-66.1,-67.0,-65.0,0.0,0.0,0,True,
39,FLRC 650k pa0,flrc,,,650,0,868000000,64,10000,0.002,50,50,-70.8,-72.0,-69.0,0.0,0.0,0,True,
40,FLRC 650k pa1,flrc,,,650,1,868000000,64,10000,0.002,50,50,-70.8,-72.0,-69.0,0.0,0.0,0,True,
41,FLRC 650k pa3,flrc,,,650,3,868000000,64,10000,0.002,50,50,-71.1,-88.0,-69.0,0.0,0.0,0,True,
42,FLRC 650k pa7,flrc,,,650,7,868000000,64,10000,0.002,50,50,-69.9,-81.0,-62.0,0.0,0.0,0,True,
43,FLRC 650k pa10,flrc,,,650,10,868000000,64,10000,0.002,50,50,-72.4,-81.0,-63.0,0.0,0.0,0,True,
44,SF8 BW125 @ 863.000MHz,lora,8,125,,10,863000000,64,263662,0.216,50,0,-37.7,-38.0,-36.0,16.3,15.0,0,True,
45,SF8 BW125 @ 865.000MHz,lora,8,125,,10,865000000,64,263662,0.216,50,0,-35.6,-36.0,-35.0,16.2,16.0,0,True,
46,SF8 BW125 @ 869.525MHz,lora,8,125,,10,869525000,64,263662,0.216,50,0,-32.6,-34.0,-32.0,15.9,15.0,0,True,
47,SF8 BW125 @ 870.000MHz,lora,8,125,,10,870000000,64,263662,0.216,50,0,-32.2,-33.0,-32.0,16.0,16.0,0,True,
