idx,label,pkt_idx,session,config,replicate,ts_ms,rssi_dbm,snr_db,crc_ok,bit_err,pcrc16
0,SF5 BW125 PA10,0,2608212001,0,1,3531,-26.0,10.0,1,0,24601
0,SF5 BW125 PA10,1,2608212001,0,1,3627,-26.0,11.0,1,0,14761
0,SF5 BW125 PA10,2,2608212001,0,1,3723,-26.0,10.0,1,0,10692
0,SF5 BW125 PA10,3,2608212001,0,1,3819,-26.0,10.0,1,0,28788
0,SF5 BW125 PA10,4,2608212001,0,1,3915,-26.0,10.0,1,0,62371
0,SF5 BW125 PA10,5,2608212001,0,1,4011,-26.0,10.0,1,0,43539
0,SF5 BW125 PA10,6,2608212001,0,1,4107,-26.0,10.0,1,0,47742
0,SF5 BW125 PA10,7,2608212001,0,1,4204,-26.0,10.0,1,0,58318
0,SF5 BW125 PA10,8,2608212001,0,1,4300,-26.0,11.0,1,0,22348
0,SF5 BW125 PA10,9,2608212001,0,1,4396,-26.0,10.0,1,0,3836
0,SF5 BW125 PA10,10,2608212001,0,1,4492,-26.0,10.0,1,0,7825
0,SF5 BW125 PA10,11,2608212001,0,1,4588,-26.0,9.0,1,0,18209
0,SF5 BW125 PA10,12,2608212001,0,1,4684,-26.0,10.0,1,0,50422
0,SF5 BW125 PA10,13,2608212001,0,1,4781,-26.0,11.0,1,0,40262
0,SF5 BW125 PA10,14,2608212001,0,1,4877,-26.0,10.0,1,0,36139
0,SF5 BW125 PA10,15,2608212001,0,1,4973,-26.0,11.0,1,0,54427
0,SF5 BW125 PA10,16,2608212001,0,1,5069,-26.0,10.0,1,0,3763
0,SF5 BW125 PA10,17,2608212001,0,1,5165,-26.0,11.0,1,0,22275
0,SF5 BW125 PA10,18,2608212001,0,1,5261,-26.0,10.0,1,0,18286
0,SF5 BW125 PA10,19,2608212001,0,1,5357,-26.0,10.0,1,0,7902
0,SF5 BW125 PA10,20,2608212001,0,1,5454,-26.0,10.0,1,0,40201
0,SF5 BW125 PA10,21,2608212001,0,1,5550,-26.0,9.0,1,0,50361
0,SF5 BW125 PA10,22,2608212001,0,1,5646,-26.0,10.0,1,0,54484
0,SF5 BW125 PA10,23,2608212001,0,1,5742,-26.0,10.0,1,0,36196
0,SF5 BW125 PA10,24,2608212001,0,1,5838,-26.0,10.0,1,0,14822
0,SF5 BW125 PA10,25,2608212001,0,1,5934,-26.0,11.0,1,0,24662
0,SF5 BW125 PA10,26,2608212001,0,1,6030,-26.0,10.0,1,0,28731
0,SF5 BW125 PA10,27,2608212001,0,1,6127,-26.0,10.0,1,0,10635
0,SF5 BW125 PA10,28,2608212001,0,1,6223,-26.0,10.0,1,0,43612
0,SF5 BW125 PA10,29,2608212001,0,1,6319,-26.0,10.0,1,0,62444
0,SF5 BW125 PA10,30,2608212001,0,1,6415,-26.0,10.0,1,0,58241
0,SF5 BW125 PA10,31,2608212001,0,1,6511,-26.0,10.0,1,0,47665
0,SF5 BW125 PA10,32,2608212001,0,1,6607,-26.0,10.0,1,0,48461
0,SF5 BW125 PA10,33,2608212001,0,1,6704,-26.0,10.0,1,0,58621
0,SF5 BW125 PA10,34,2608212001,0,1,6800,-26.0,10.0,1,0,62608
0,SF5 BW125 PA10,35,2608212001,0,1,6896,-26.0,10.0,1,0,44320
0,SF5 BW125 PA10,36,2608212001,0,1,6992,-26.0,10.0,1,0,12023
0,SF5 BW125 PA10,37,2608212001,0,1,7088,-26.0,11.0,1,0,30535
0,SF5 BW125 PA10,38,2608212001,0,1,7184,-26.0,11.0,1,0,26410
0,SF5 BW125 PA10,39,2608212001,0,1,7280,-26.0,11.0,1,0,16026
0,SF5 BW125 PA10,40,2608212001,0,1,7377,-26.0,11.0,1,0,35352
0,SF5 BW125 PA10,41,2608212001,0,1,7473,-26.0,10.0,1,0,54184
0,SF5 BW125 PA10,42,2608212001,0,1,7569,-26.0,10.0,1,0,50117
0,SF5 BW125 PA10,43,2608212001,0,1,7665,-26.0,9.0,1,0,39541
0,SF5 BW125 PA10,44,2608212001,0,1,7761,-26.0,9.0,1,0,6562
0,SF5 BW125 PA10,45,2608212001,0,1,7857,-26.0,10.0,1,0,16402
0,SF5 BW125 PA10,46,2608212001,0,1,7953,-26.0,10.0,1,0,20607
0,SF5 BW125 PA10,47,2608212001,0,1,8050,-26.0,10.0,1,0,2511
0,SF5 BW125 PA10,48,2608212001,0,1,8146,-26.0,10.0,1,0,54247
0,SF5 BW125 PA10,49,2608212001,0,1,8242,-26.0,12.0,1,0,35415
1,SF6 BW125 PA10,0,2608212001,1,1,3577,-26.0,13.0,1,0,24601
1,SF6 BW125 PA10,1,2608212001,1,1,3736,-21.0,13.0,1,0,14761
1,SF6 BW125 PA10,2,2608212001,1,1,3895,-21.0,13.0,1,0,10692
1,SF6 BW125 PA10,3,2608212001,1,1,4054,-21.0,13.0,1,0,28788
1,SF6 BW125 PA10,4,2608212001,1,1,4213,-25.0,12.0,1,0,62371
1,SF6 BW125 PA10,5,2608212001,1,1,4372,-25.0,13.0,1,0,43539
1,SF6 BW125 PA10,6,2608212001,1,1,4531,-25.0,13.0,1,0,47742
1,SF6 BW125 PA10,7,2608212001,1,1,4690,-25.0,13.0,1,0,58318
1,SF6 BW125 PA10,8,2608212001,1,1,4849,-26.0,14.0,1,0,22348
1,SF6 BW125 PA10,9,2608212001,1,1,5008,-26.0,13.0,1,0,3836
1,SF6 BW125 PA10,10,2608212001,1,1,5167,-26.0,13.0,1,0,7825
1,SF6 BW125 PA10,11,2608212001,1,1,5326,-26.0,13.0,1,0,18209
1,SF6 BW125 PA10,12,2608212001,1,1,5485,-26.0,13.0,1,0,50422
1,SF6 BW125 PA10,13,2608212001,1,1,5644,-25.0,13.0,1,0,40262
1,SF6 BW125 PA10,14,2608212001,1,1,5803,-25.0,13.0,1,0,36139
1,SF6 BW125 PA10,15,2608212001,1,1,5962,-25.0,14.0,1,0,54427
1,SF6 BW125 PA10,16,2608212001,1,1,6121,-25.0,14.0,1,0,3763
1,SF6 BW125 PA10,17,2608212001,1,1,6280,-25.0,13.0,1,0,22275
1,SF6 BW125 PA10,18,2608212001,1,1,6439,-26.0,14.0,1,0,18286
1,SF6 BW125 PA10,19,2608212001,1,1,6598,-26.0,13.0,1,0,7902
1,SF6 BW125 PA10,20,2608212001,1,1,6757,-26.0,13.0,1,0,40201
1,SF6 BW125 PA10,21,2608212001,1,1,6916,-26.0,13.0,1,0,50361
1,SF6 BW125 PA10,22,2608212001,1,1,7075,-25.0,13.0,1,0,54484
1,SF6 BW125 PA10,23,2608212001,1,1,7234,-26.0,12.0,1,0,36196
1,SF6 BW125 PA10,24,2608212001,1,1,7393,-26.0,13.0,1,0,14822
1,SF6 BW125 PA10,25,2608212001,1,1,7552,-26.0,13.0,1,0,24662
1,SF6 BW125 PA10,26,2608212001,1,1,7711,-26.0,13.0,1,0,28731
1,SF6 BW125 PA10,27,2608212001,1,1,7870,-26.0,13.0,1,0,10635
1,SF6 BW125 PA10,28,2608212001,1,1,8029,-26.0,13.0,1,0,43612
1,SF6 BW125 PA10,29,2608212001,1,1,8188,-26.0,13.0,1,0,62444
1,SF6 BW125 PA10,30,2608212001,1,1,8347,-26.0,12.0,1,0,58241
1,SF6 BW125 PA10,31,2608212001,1,1,8506,-26.0,12.0,1,0,47665
1,SF6 BW125 PA10,32,2608212001,1,1,8665,-26.0,13.0,1,0,48461
1,SF6 BW125 PA10,33,2608212001,1,1,8824,-26.0,13.0,1,0,58621
1,SF6 BW125 PA10,34,2608212001,1,1,8983,-26.0,13.0,1,0,62608
1,SF6 BW125 PA10,35,2608212001,1,1,9142,-26.0,13.0,1,0,44320
1,SF6 BW125 PA10,36,2608212001,1,1,9301,-26.0,13.0,1,0,12023
1,SF6 BW125 PA10,37,2608212001,1,1,9460,-26.0,13.0,1,0,30535
1,SF6 BW125 PA10,38,2608212001,1,1,9619,-27.0,12.0,1,0,26410
1,SF6 BW125 PA10,39,2608212001,1,1,9778,-27.0,13.0,1,0,16026
1,SF6 BW125 PA10,40,2608212001,1,1,9937,-26.0,13.0,1,0,35352
1,SF6 BW125 PA10,41,2608212001,1,1,10096,-26.0,13.0,1,0,54184
1,SF6 BW125 PA10,42,2608212001,1,1,10255,-27.0,12.0,1,0,50117
1,SF6 BW125 PA10,43,2608212001,1,1,10414,-27.0,13.0,1,0,39541
1,SF6 BW125 PA10,44,2608212001,1,1,10573,-26.0,13.0,1,0,6562
1,SF6 BW125 PA10,45,2608212001,1,1,10732,-26.0,13.0,1,0,16402
1,SF6 BW125 PA10,46,2608212001,1,1,10891,-25.0,14.0,1,0,20607
1,SF6 BW125 PA10,47,2608212001,1,1,11050,-25.0,13.0,1,0,2511
1,SF6 BW125 PA10,48,2608212001,1,1,11209,-25.0,13.0,1,0,54247
1,SF6 BW125 PA10,49,2608212001,1,1,11368,-25.0,13.0,1,0,35415
2,SF7 BW125 PA10,0,2608212001,2,1,3604,-29.0,15.0,1,0,24601
2,SF7 BW125 PA10,1,2608212001,2,1,3872,-30.0,15.0,1,0,14761
2,SF7 BW125 PA10,2,2608212001,2,1,4140,-30.0,15.0,1,0,10692
2,SF7 BW125 PA10,3,2608212001,2,1,4407,-30.0,15.0,1,0,28788
2,SF7 BW125 PA10,4,2608212001,2,1,4675,-28.0,14.0,1,0,62371
2,SF7 BW125 PA10,5,2608212001,2,1,4943,-28.0,15.0,1,0,43539
2,SF7 BW125 PA10,6,2608212001,2,1,5211,-28.0,15.0,1,0,47742
2,SF7 BW125 PA10,7,2608212001,2,1,5479,-28.0,15.0,1,0,58318
2,SF7 BW125 PA10,8,2608212001,2,1,5747,-27.0,15.0,1,0,22348
2,SF7 BW125 PA10,9,2608212001,2,1,6014,-27.0,15.0,1,0,3836
2,SF7 BW125 PA10,10,2608212001,2,1,6282,-28.0,15.0,1,0,7825
2,SF7 BW125 PA10,11,2608212001,2,1,6550,-28.0,15.0,1,0,18209
2,SF7 BW125 PA10,12,2608212001,2,1,6818,-28.0,15.0,1,0,50422
2,SF7 BW125 PA10,13,2608212001,2,1,7086,-29.0,15.0,1,0,40262
2,SF7 BW125 PA10,14,2608212001,2,1,7354,-28.0,16.0,1,0,36139
2,SF7 BW125 PA10,15,2608212001,2,1,7622,-29.0,15.0,1,0,54427
2,SF7 BW125 PA10,16,2608212001,2,1,7889,-28.0,16.0,1,0,3763
2,SF7 BW125 PA10,17,2608212001,2,1,8157,-28.0,14.0,1,0,22275
2,SF7 BW125 PA10,18,2608212001,2,1,8425,-28.0,14.0,1,0,18286
2,SF7 BW125 PA10,19,2608212001,2,1,8693,-28.0,15.0,1,0,7902
2,SF7 BW125 PA10,20,2608212001,2,1,8961,-28.0,15.0,1,0,40201
2,SF7 BW125 PA10,21,2608212001,2,1,9229,-28.0,14.0,1,0,50361
2,SF7 BW125 PA10,22,2608212001,2,1,9496,-28.0,15.0,1,0,54484
2,SF7 BW125 PA10,23,2608212001,2,1,9764,-28.0,15.0,1,0,36196
2,SF7 BW125 PA10,24,2608212001,2,1,10032,-27.0,15.0,1,0,14822
2,SF7 BW125 PA10,25,2608212001,2,1,10300,-27.0,15.0,1,0,24662
2,SF7 BW125 PA10,26,2608212001,2,1,10568,-28.0,14.0,1,0,28731
2,SF7 BW125 PA10,27,2608212001,2,1,10836,-28.0,15.0,1,0,10635
2,SF7 BW125 PA10,28,2608212001,2,1,11104,-28.0,15.0,1,0,43612
2,SF7 BW125 PA10,29,2608212001,2,1,11371,-29.0,16.0,1,0,62444
2,SF7 BW125 PA10,30,2608212001,2,1,11639,-28.0,14.0,1,0,58241
2,SF7 BW125 PA10,31,2608212001,2,1,11907,-28.0,14.0,1,0,47665
2,SF7 BW125 PA10,32,2608212001,2,1,12175,-28.0,15.0,1,0,48461
2,SF7 BW125 PA10,33,2608212001,2,1,12443,-28.0,15.0,1,0,58621
2,SF7 BW125 PA10,34,2608212001,2,1,12711,-29.0,15.0,1,0,62608
2,SF7 BW125 PA10,35,2608212001,2,1,12979,-28.0,15.0,1,0,44320
2,SF7 BW125 PA10,36,2608212001,2,1,13246,-28.0,15.0,1,0,12023
2,SF7 BW125 PA10,37,2608212001,2,1,13514,-28.0,15.0,1,0,30535
2,SF7 BW125 PA10,38,2608212001,2,1,13782,-28.0,14.0,1,0,26410
2,SF7 BW125 PA10,39,2608212001,2,1,14050,-28.0,15.0,1,0,16026
2,SF7 BW125 PA10,40,2608212001,2,1,14318,-28.0,15.0,1,0,35352
2,SF7 BW125 PA10,41,2608212001,2,1,14586,-28.0,14.0,1,0,54184
2,SF7 BW125 PA10,42,2608212001,2,1,14853,-29.0,15.0,1,0,50117
2,SF7 BW125 PA10,43,2608212001,2,1,15121,-29.0,16.0,1,0,39541
2,SF7 BW125 PA10,44,2608212001,2,1,15389,-28.0,15.0,1,0,6562
2,SF7 BW125 PA10,45,2608212001,2,1,15657,-28.0,15.0,1,0,16402
2,SF7 BW125 PA10,46,2608212001,2,1,15925,-28.0,15.0,1,0,20607
2,SF7 BW125 PA10,47,2608212001,2,1,16193,-27.0,15.0,1,0,2511
2,SF7 BW125 PA10,48,2608212001,2,1,16461,-27.0,15.0,1,0,54247
2,SF7 BW125 PA10,49,2608212001,2,1,16728,-27.0,15.0,1,0,35415
