timestamp_iso,phase,seq,rssi_dbm,rx_ms,tx_lat,tx_lon,sats,fix_quality,utc_sec,distance_m
2026-07-24T11:21:38.882332+00:00,10,25418,-50.0,191135,189.6022,168.20476,34706,193,16778752,-1
2026-07-24T11:23:03.964957+00:00,11,25419,-50.0,276462,119.19234,134.65033,34706,193,16778496,-1
2026-07-24T11:23:03.965009+00:00,11,25419,-49.0,276492,119.19237,132.97261,34706,193,16778496,-1
2026-07-24T11:23:03.965037+00:00,11,25419,-49.0,276532,119.1924,132.97261,34706,193,16778496,-1
2026-07-24T11:23:29.993570+00:00,12,17735,-58.0,303212,10.20319,-140.17551,52217,97,2838501918,-1
2026-07-24T11:23:46.010015+00:00,12,44596,-58.0,319133,-11.544,1.29929,18299,243,849934971,-1
2026-07-24T11:23:48.011476+00:00,12,38557,-58.0,321159,102.93745,61.22681,52231,202,3301875916,-1
